traffic_volume,rain_1h,snow_1h,clouds_all,hour,day_of_week,month,year,day_of_year,is_weekend,congestion_level,temp_celsius,is_holiday,weather_main_encoded,weather_description_encoded
5545,0.0,0.0,40,9,1,10,2012,276,0,Medium,15.129999999999995,1,1,24
4516,0.0,0.0,75,10,1,10,2012,276,0,Medium,16.210000000000036,1,1,2
4767,0.0,0.0,90,11,1,10,2012,276,0,Medium,16.430000000000007,1,1,19
5026,0.0,0.0,90,12,1,10,2012,276,0,Medium,16.980000000000018,1,1,19
4918,0.0,0.0,75,13,1,10,2012,276,0,Medium,17.99000000000001,1,1,2
5181,0.0,0.0,1,14,1,10,2012,276,0,Medium,18.57000000000005,1,0,27
5584,0.0,0.0,1,15,1,10,2012,276,0,Medium,20.02000000000004,1,0,27
6015,0.0,0.0,1,16,1,10,2012,276,0,High,20.710000000000036,1,0,27
5791,0.0,0.0,20,17,1,10,2012,276,0,Medium,20.99000000000001,1,1,4
4770,0.0,0.0,20,18,1,10,2012,276,0,Medium,19.950000000000045,1,1,4
3539,0.0,0.0,20,19,1,10,2012,276,0,Medium,17.82000000000005,1,1,4
2784,0.0,0.0,1,20,1,10,2012,276,0,Low,16.230000000000018,1,0,27
2361,0.0,0.0,1,21,1,10,2012,276,0,Low,15.460000000000036,1,0,27
1529,0.0,0.0,1,22,1,10,2012,276,0,Low,14.010000000000048,1,0,27
963,0.0,0.0,1,23,1,10,2012,276,0,Low,12.300000000000011,1,0,27
506,0.0,0.0,1,0,2,10,2012,277,0,Low,11.480000000000018,1,0,27
321,0.0,0.0,1,1,2,10,2012,277,0,Low,10.32000000000005,1,0,27
273,0.0,0.0,1,2,2,10,2012,277,0,Low,8.03000000000003,1,0,27
367,0.0,0.0,1,3,2,10,2012,277,0,Low,7.939999999999998,1,0,27
814,0.0,0.0,1,4,2,10,2012,277,0,Low,6.3799999999999955,1,0,27
2718,0.0,0.0,1,5,2,10,2012,277,0,Low,5.470000000000027,1,0,27
5673,0.0,0.0,1,6,2,10,2012,277,0,Medium,5.080000000000041,1,0,27
6511,0.0,0.0,1,8,2,10,2012,277,0,High,4.970000000000027,1,0,27
5471,0.0,0.0,1,9,2,10,2012,277,0,Medium,9.330000000000041,1,0,27
5097,0.0,0.0,1,12,2,10,2012,277,0,Medium,18.82000000000005,1,0,27
4887,0.0,0.0,1,13,2,10,2012,277,0,Medium,20.08000000000004,1,0,27
5337,0.0,0.0,1,14,2,10,2012,277,0,Medium,21.160000000000025,1,0,27
5692,0.0,0.0,1,15,2,10,2012,277,0,Medium,22.02000000000004,1,0,27
6137,0.0,0.0,1,16,2,10,2012,277,0,High,21.980000000000018,1,0,27
4623,0.0,0.0,20,18,2,10,2012,277,0,Medium,20.510000000000048,1,1,4
3591,0.0,0.0,20,19,2,10,2012,277,0,Medium,17.5,1,1,4
2898,0.0,0.0,20,20,2,10,2012,277,0,Low,15.04000000000002,1,1,4
2637,0.0,0.0,1,21,2,10,2012,277,0,Low,13.950000000000045,1,0,27
1777,0.0,0.0,1,22,2,10,2012,277,0,Low,13.100000000000023,1,0,27
